                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                0.49257,                0.54948,                0.98345,                0.97027,                0.95696,                0.98559,                0.94563,                0.31849,                0.28921,                0.83324,               0.001684,               0.001684,               0.001684
                    128,                0.49924,                0.53979,                0.98859,                0.97835,                0.96151,                0.98433,                 0.9464,                0.32392,                0.27019,                0.83837,               0.001618,               0.001618,               0.001618
                    129,                0.47316,                  0.498,                0.97586,                0.98352,                0.96747,                0.98654,                0.94715,                0.31171,                0.25414,                0.83793,               0.001552,               0.001552,               0.001552
                    130,                0.48411,                0.53116,                0.98648,                0.97509,                0.96506,                0.98712,                0.94581,                0.32853,                 0.2729,                0.84451,               0.001486,               0.001486,               0.001486
                    131,                0.48448,                0.51502,                0.98444,                0.97782,                0.96791,                0.98934,                0.94866,                0.31741,                0.25101,                0.83838,                0.00142,                0.00142,                0.00142
                    132,                0.48148,                0.52109,                0.98484,                0.98231,                0.96258,                0.98972,                0.94756,                0.32168,                0.24505,                0.83728,               0.001354,               0.001354,               0.001354
                    133,                0.48008,                0.50902,                0.97572,                0.98602,                0.96638,                0.99186,                0.95484,                0.30254,                0.22773,                0.83146,               0.001288,               0.001288,               0.001288
                    134,                0.48633,                0.53562,                 0.9901,                0.98322,                0.96607,                0.98868,                0.95112,                0.29873,                 0.2538,                0.83061,               0.001222,               0.001222,               0.001222
                    135,                0.48504,                0.54227,                0.98053,                0.98137,                0.95981,                0.99004,                0.95821,                0.30378,                0.25599,                0.83231,               0.001156,               0.001156,               0.001156
                    136,                0.47701,                0.51503,                0.98254,                0.97225,                0.96176,                0.99117,                0.94863,                0.31325,                0.26999,                0.83705,                0.00109,                0.00109,                0.00109
                    137,                0.47482,                0.51306,                  0.984,                0.97992,                0.96597,                0.98878,                0.95272,                0.30593,                0.24366,                0.83419,               0.001024,               0.001024,               0.001024
                    138,                 0.4884,                0.52883,                 0.9901,                0.98345,                0.96994,                0.98943,                0.95384,                0.30165,                0.24364,                0.83344,               0.000958,               0.000958,               0.000958
                    139,                0.46142,                0.51978,                0.97003,                0.98215,                 0.9706,                0.98889,                0.95245,                0.30649,                0.24779,                 0.8335,               0.000892,               0.000892,               0.000892
                    140,                0.47391,                 0.5258,                0.97992,                0.98381,                0.96688,                0.98984,                0.95573,                0.30261,                0.24174,                0.83127,               0.000826,               0.000826,               0.000826
                    141,                0.29189,                0.20956,                 0.8703,                0.98147,                0.97185,                0.98831,                0.94795,                0.30965,                0.24378,                0.83332,                0.00076,                0.00076,                0.00076
                    142,                0.28814,                0.20464,                0.86462,                0.98582,                0.96878,                0.98591,                0.95089,                0.30252,                0.23983,                0.83073,               0.000694,               0.000694,               0.000694
                    143,                0.28587,                0.19895,                0.86627,                0.98145,                0.97324,                0.98663,                0.95416,                0.30073,                0.23677,                 0.8325,               0.000628,               0.000628,               0.000628
                    144,                0.29147,                0.19596,                0.87246,                0.98688,                0.97396,                0.98748,                0.95081,                0.30306,                0.23713,                0.83282,               0.000562,               0.000562,               0.000562
                    145,                0.28028,                0.19076,                0.86826,                 0.9875,                 0.9753,                0.98847,                0.95606,                0.30285,                0.23218,                0.83143,               0.000496,               0.000496,               0.000496
                    146,                0.27907,                0.19045,                0.86066,                0.98561,                0.97316,                0.98891,                0.95681,                0.29747,                0.23574,                0.83053,                0.00043,                0.00043,                0.00043
                    147,                0.27835,                0.18902,                 0.8704,                0.98253,                0.96866,                   0.99,                0.95642,                0.29871,                0.23982,                0.82995,               0.000364,               0.000364,               0.000364
                    148,                0.28149,                0.18874,                0.86781,                0.98482,                0.96689,                0.98991,                0.95554,                0.29785,                0.23276,                0.82916,               0.000298,               0.000298,               0.000298
                    149,                0.27216,                0.18501,                0.85491,                0.98365,                0.96899,                0.98947,                0.95402,                0.29824,                0.23401,                0.82978,               0.000232,               0.000232,               0.000232
                    150,                0.27494,                0.18998,                 0.8749,                 0.9874,                0.96557,                0.98946,                0.95335,                 0.2967,                 0.2355,                 0.8298,               0.000166,               0.000166,               0.000166
